ZX80 Foils 1.8 hole locations
X,Y,DIAMETER coordinates from bottom left index.
48.7,127.6,1.0
48.7,123.9,1.0
48.8,118.2,1.0
44.5,119.7,1.0
76.1,125.2,1.0
60.4,113.5,1.0
56.3,111.0,1.0
57.9,105.9,1.0
61.7,105.8,1.0
37.8,118.1,1.0
35.4,120.1,1.0
37.8,123.9,1.0
37.7,127.6,1.0
37.7,131.5,1.0
40.4,135.7,1.0
39.8,141.7,1.0
37.1,142.9,1.0
39.8,145.4,1.0
29.6,141.4,1.0
25.1,141.4,1.0
39.8,149.2,1.0
39.8,153.2,1.0
39.8,156.9,1.0
27.8,151.4,1.0
27.8,154.4,1.0
38.4,113.6,1.0
39.6,109.3,1.0
37.8,106.3,1.0
31.0,104.7,1.0
28.4,104.7,1.0
22.2,109.1,1.0
22.2,113.1,1.0
24.8,115.8,1.0
30.0,115.5,1.0
28.2,109.3,1.0
11.3,113.3,1.0
11.3,109.2,1.0
14.4,124.1,1.0
7.0,123.8,1.0
5.3,126.5,1.0
21.1,126.8,1.0
21.1,134.3,1.0
14.5,132.5,1.0
20.1,140.4,1.0
9.3,140.6,1.0
3.8,143.1,1.0
126.1,168.5,1.0
126.1,165.8,1.0
141.7,172.9,1.0
146.5,172.9,1.0
54.9,181.0,1.0
53.5,177.7,1.0
52.3,180.0,1.0
50.6,178.1,1.0
48.1,179.5,1.0
49.6,175.3,1.0
46.2,176.0,1.0
43.7,176.5,1.0
41.9,174.8,1.0
48.0,182.4,1.0
48.0,185.9,1.0
39.8,179.6,1.0
39.8,182.5,1.0
39.7,186.0,1.0
24.5,187.4,1.0
22.0,188.8,1.0
17.5,187.5,1.0
7.4,181.9,1.0
39.8,176.0,1.0
98.0,92.5,1.0
98.2,96.4,1.0
98.2,99.2,1.0
88.7,89.2,1.0
109.1,105.5,1.0
114.6,105.4,1.0
139.4,89.4,1.0
81.0,89.5,1.0
46.5,96.4,1.0
30.0,94.8,1.0
37.4,90.1,1.0
37.3,101.6,1.0
3.6,87.6,1.0
4.8,52.7,1.0
151.4,65.4,2.2
3.8,65.4,2.2
46.2,109.2,3.4
45.8,170.2,3.4
135.5,167.4,3.4
24.4,179.5,4.0
63.5,178.6,1.0
63.8,184.2,1.0
124.7,195.5,2.6
129.2,195.5,2.6
133.7,195.5,2.6
133.7,190.2,2.6
120.3,190.0,2.6
120.1,195.5,2.6
115.6,195.5,2.6
115.6,199.5,2.6
120.3,200.9,2.6
129.3,199.2,2.6
133.7,200.9,2.6
138.1,195.5,2.6
142.7,195.5,2.6
142.7,199.2,2.6
147.4,201.0,2.6
147.4,195.5,2.6
147.1,190.0,2.6
151.7,195.5,2.6
112.5,182.6,2.0
73.4,182.6,2.0
7.5,179.2,1.0
7.5,176.4,1.0
55.0,78.6,1.0
10.6,165.9,1.0
10.6,163.3,1.0
10.6,160.8,1.0
10.6,158.2,1.0
10.6,155.7,1.0
10.6,153.1,1.0
10.6,150.6,1.0
10.6,148.0,1.0
10.6,145.5,1.0
29.8,86.4,1.0
24.6,136.6,1.0
24.6,128.9,1.0
24.6,126.4,1.0
24.6,123.9,1.0
24.6,121.3,1.0
24.6,118.8,1.0
24.6,134.0,1.0
24.6,131.5,1.0
152.4,3.1,3.5
3.1,3.1,3.5
18.9,52.7,1.0
28.0,52.7,1.0
4.9,52.7,1.0
14.0,52.7,1.0
32.9,52.7,1.0
42.0,52.7,1.0
47.0,52.7,1.0
56.1,52.7,1.0
61.0,52.7,1.0
70.1,52.7,1.0
75.0,52.7,1.0
84.1,52.7,1.0
89.0,52.7,1.0
98.1,52.7,1.0
103.0,52.7,1.0
112.2,52.7,1.0
117.1,52.7,1.0
126.2,52.7,1.0
